ETAPE	RANG	DOSSARD	TEMPS
1	198	76	04:58:16
1	197	117	04:58:16
3	196	33	03:45:55
1	196	115	04:52:59
2	196	117	05:30:58
3	195	54	03:45:55
1	195	112	04:52:59
2	195	196	05:28:26
2	194	2	05:28:26
3	194	35	03:44:24
4	194	48	03:44:05
1	194	91	04:44:07
2	193	6	05:28:26
1	193	22	04:47:54
3	193	34	03:44:24
4	193	54	03:44:05
5	193	92	03:51:27
5	192	9	03:51:27
2	192	25	05:28:26
1	192	71	04:44:07
3	192	89	03:43:38
4	192	107	03:44:05
2	191	22	05:28:26
1	191	107	04:47:44
5	191	107	03:41:43
4	191	133	03:44:05
3	191	173	03:38:30
4	190	93	03:43:50
1	190	99	04:44:07
5	190	121	03:41:15
2	190	137	05:28:26
3	190	178	03:38:30
4	189	94	03:43:50
2	189	105	05:28:26
5	189	124	03:41:15
6	189	173	04:27:28
1	189	203	04:47:18
3	189	212	03:42:25
4	188	4	03:42:31
1	188	79	04:44:07
3	188	86	03:41:48
6	188	89	04:21:02
5	188	203	03:41:15
2	188	218	05:28:26
5	187	3	03:41:15
3	187	53	03:40:34
2	187	57	05:28:26
1	187	158	04:44:07
6	187	179	04:19:45
4	187	203	03:42:31
4	186	34	03:42:31
7	186	59	05:35:54
1	186	74	04:44:07
6	186	133	04:18:41
3	186	159	03:40:34
5	186	162	03:41:15
2	186	215	05:28:26
5	185	48	03:41:15
7	185	55	05:35:54
2	185	59	05:28:26
6	185	107	04:18:39
4	185	178	03:42:31
1	185	196	04:46:46
3	185	203	03:40:34
3	184	21	03:40:34
5	184	47	03:41:15
1	184	54	04:46:36
7	184	54	05:35:54
4	184	89	03:42:31
8	184	107	04:11:32
2	184	112	05:28:26
6	184	143	04:17:59
5	183	4	03:41:15
3	183	15	03:40:34
6	183	53	04:16:30
4	183	83	03:42:31
8	183	112	04:11:11
2	183	123	05:28:26
7	183	133	05:32:07
1	183	137	04:46:36
9	183	158	04:31:12
5	182	54	03:41:15
8	182	97	04:10:52
2	182	121	05:28:26
9	182	121	04:31:12
1	182	136	04:46:36
4	182	147	03:42:31
3	182	197	03:40:28
6	182	197	04:16:30
7	182	207	05:32:07
8	181	93	04:10:52
6	181	105	04:16:30
2	181	126	05:28:26
1	181	177	04:46:32
9	181	196	04:31:12
4	181	197	03:42:22
5	181	198	03:41:15
7	181	213	05:32:07
3	181	216	03:40:28
8	180	24	04:10:36
5	180	36	03:41:15
4	180	68	03:42:19
2	180	122	05:28:26
6	180	122	04:16:30
3	180	175	03:40:28
7	180	177	05:30:55
1	180	178	04:44:07
9	180	183	04:31:12
10	180	206	05:10:32
5	179	28	03:41:15
9	179	45	04:31:12
7	179	57	05:30:55
1	179	78	04:46:29
11	179	91	04:57:50
6	179	104	04:16:30
8	179	105	04:10:21
3	179	172	03:40:28
4	179	175	03:41:19
2	179	177	05:28:26
10	179	208	05:10:32
3	178	19	03:40:28
1	178	35	04:46:22
8	178	68	04:10:21
2	178	76	05:28:26
11	178	93	04:46:11
9	178	112	04:31:12
7	178	122	05:30:55
5	178	133	03:41:15
4	178	159	03:41:19
10	178	177	05:00:13
6	178	199	04:16:30
6	177	16	04:16:30
5	177	21	03:41:15
9	177	25	04:31:12
8	177	32	04:10:15
4	177	47	03:40:58
2	177	77	05:28:26
12	177	107	04:44:15
7	177	112	05:30:55
3	177	157	03:40:28
1	177	181	04:44:07
10	177	189	05:00:05
11	177	196	04:46:11
11	176	24	04:46:11
5	176	34	03:41:15
9	176	44	04:31:12
4	176	53	03:40:58
12	176	89	04:44:15
3	176	94	03:40:28
2	176	107	05:28:26
7	176	107	05:30:55
10	176	107	04:59:55
8	176	109	04:10:15
6	176	118	04:16:30
1	176	186	04:44:07
6	175	15	04:16:30
9	175	22	04:31:12
4	175	44	03:40:58
8	175	45	04:10:00
1	175	53	04:46:12
7	175	105	05:30:55
12	175	129	04:44:15
10	175	139	04:59:55
5	175	152	03:41:15
11	175	195	04:46:11
3	175	207	03:40:28
2	175	214	05:28:26
6	174	12	04:16:30
10	174	24	04:59:55
8	174	44	04:10:00
4	174	45	03:40:58
1	174	59	04:46:12
3	174	83	03:40:28
9	174	84	04:31:12
2	174	97	05:28:26
11	174	97	04:46:11
7	174	109	05:30:55
12	174	156	04:42:23
5	174	159	03:41:15
8	173	2	04:10:00
3	173	4	03:40:28
6	173	4	04:16:30
11	173	22	04:46:11
2	173	93	05:28:26
4	173	97	03:40:58
9	173	122	04:31:12
1	173	143	04:46:01
7	173	173	05:30:55
10	173	196	04:59:55
13	173	196	05:54:15
5	173	216	03:41:15
12	173	219	04:42:23
8	172	6	04:10:00
10	172	23	04:59:55
3	172	28	03:40:28
13	172	105	05:54:15
1	172	109	04:45:57
5	172	142	03:41:15
12	172	155	04:42:23
7	172	171	05:30:55
6	172	203	04:16:30
2	172	207	05:28:26
9	172	208	04:31:12
11	172	212	04:46:11
4	172	216	03:40:58
11	171	57	04:46:11
12	171	57	04:42:23
10	171	77	04:59:55
4	171	86	03:40:58
14	171	96	05:36:07
13	171	101	05:54:15
3	171	105	03:40:28
15	171	107	05:09:03
1	171	108	04:45:57
7	171	116	05:30:55
9	171	123	04:31:12
2	171	135	05:28:26
5	171	171	03:41:15
6	171	177	04:16:30
8	171	212	04:10:00
10	170	22	04:59:55
12	170	47	04:42:23
5	170	59	03:41:15
4	170	96	03:40:32
15	170	96	05:09:03
14	170	97	05:36:07
3	170	107	03:40:28
7	170	108	05:30:55
13	170	109	05:54:15
8	170	122	04:10:00
2	170	139	05:28:26
11	170	143	04:46:11
6	170	176	04:16:30
1	170	184	04:44:07
9	170	214	04:31:12
14	169	24	05:36:07
7	169	34	05:30:55
12	169	44	04:42:23
16	169	48	06:36:53
15	169	53	05:09:03
10	169	57	04:59:55
11	169	89	04:46:11
4	169	95	03:40:32
9	169	107	04:31:12
13	169	108	05:54:15
5	169	117	03:41:15
8	169	121	04:10:00
6	169	156	04:16:30
2	169	167	05:28:26
1	169	204	04:45:37
3	169	219	03:40:22
7	168	2	05:30:55
15	168	4	05:09:03
10	168	6	04:59:55
1	168	34	04:45:37
16	168	44	06:35:09
12	168	45	04:42:23
14	168	68	05:36:07
13	168	79	05:53:11
3	168	95	03:40:22
5	168	98	03:41:15
4	168	105	03:40:16
11	168	112	04:46:11
8	168	178	04:10:00
9	168	203	04:31:12
2	168	208	05:28:26
6	168	216	04:16:30
1	167	27	04:45:37
5	167	33	03:41:15
16	167	53	06:33:57
4	167	65	03:39:30
10	167	78	04:59:55
8	167	79	04:10:00
12	167	96	04:42:23
7	167	104	05:30:55
2	167	109	05:28:26
13	167	112	05:53:11
15	167	112	05:09:03
14	167	174	05:36:07
9	167	189	04:31:12
11	167	204	04:46:11
3	167	215	03:40:22
6	167	215	04:16:30
1	166	6	04:45:37
3	166	12	03:40:22
15	166	21	05:09:03
16	166	24	06:33:57
8	166	52	04:10:00
14	166	57	05:36:07
4	166	69	03:39:30
9	166	77	04:31:12
11	166	96	04:46:11
2	166	101	05:28:26
7	166	101	05:30:55
17	166	101	04:04:18
12	166	112	04:42:23
13	166	122	05:52:39
6	166	157	04:16:30
5	166	177	03:41:15
10	166	188	04:59:55
10	165	2	04:59:55
12	165	15	04:42:23
16	165	22	06:33:57
7	165	35	05:30:55
8	165	57	04:10:00
11	165	68	04:46:11
13	165	104	05:52:39
2	165	108	05:28:26
17	165	109	04:04:18
14	165	112	05:36:07
3	165	117	03:40:22
1	165	132	04:45:35
6	165	159	04:16:30
15	165	179	05:09:03
4	165	184	03:39:30
5	165	213	03:41:15
9	165	218	04:31:12
13	164	22	05:52:39
8	164	23	04:10:00
20	164	24	01:18:49
10	164	59	04:59:55
11	164	59	04:46:11
12	164	65	04:42:23
2	164	78	05:27:09
6	164	83	04:16:30
9	164	93	04:31:12
16	164	97	06:33:57
19	164	107	04:56:22
21	164	107	03:30:15
18	164	112	04:36:31
3	164	119	03:40:22
14	164	121	05:36:07
7	164	162	05:30:55
17	164	177	04:03:19
15	164	178	05:09:03
1	164	188	04:44:07
4	164	188	03:39:30
5	164	214	03:41:15
13	163	2	05:52:39
15	163	15	05:09:03
4	163	19	03:39:02
11	163	25	04:46:11
2	163	52	05:24:15
18	163	52	04:36:31
7	163	65	05:30:55
5	163	83	03:41:15
20	163	83	01:18:40
19	163	93	04:43:48
1	163	96	04:44:07
10	163	109	04:59:55
16	163	121	06:33:57
12	163	122	04:42:23
14	163	122	05:36:07
9	163	138	04:31:12
8	163	152	04:10:00
21	163	156	03:25:23
6	163	171	04:16:30
17	163	174	04:03:19
3	163	189	03:40:22
4	162	6	03:38:44
12	162	6	04:42:23
7	162	17	05:30:55
11	162	23	04:46:11
2	162	34	05:24:15
6	162	62	04:16:30
1	162	73	04:44:07
18	162	74	04:36:31
8	162	84	04:10:00
21	162	86	03:24:55
5	162	89	03:41:15
10	162	97	04:59:55
13	162	107	05:52:39
20	162	107	01:18:32
17	162	139	04:03:19
9	162	176	04:31:12
14	162	177	05:36:07
16	162	178	06:33:57
3	162	187	03:40:22
15	162	198	05:09:03
19	162	216	04:52:33
21	161	3	03:24:29
10	161	15	04:59:55
7	161	16	05:30:55
9	161	23	04:31:12
2	161	48	05:24:15
3	161	48	03:39:56
1	161	57	04:44:07
6	161	65	04:16:30
14	161	69	05:36:07
17	161	84	04:03:17
8	161	87	04:10:00
20	161	94	01:18:04
5	161	102	03:40:38
18	161	107	04:36:21
19	161	121	04:51:44
13	161	143	05:52:14
15	161	159	05:09:03
12	161	162	04:42:23
11	161	187	04:46:11
4	161	189	03:38:44
16	161	195	06:33:57
21	160	14	03:22:49
1	160	21	04:44:07
3	160	24	03:39:52
15	160	28	05:09:03
2	160	35	05:24:15
20	160	48	01:18:01
7	160	77	05:30:55
10	160	84	04:59:55
8	160	88	04:10:00
9	160	89	04:31:12
13	160	99	05:52:06
14	160	107	05:36:07
16	160	112	06:33:57
12	160	116	04:42:23
4	160	119	03:38:44
17	160	143	04:03:09
6	160	162	04:16:30
5	160	176	03:39:59
18	160	196	04:36:21
19	160	198	04:51:38
11	160	214	04:46:11
16	159	6	06:33:57
18	159	22	04:36:21
2	159	32	05:24:15
15	159	36	05:09:03
6	159	54	04:16:30
19	159	86	04:51:38
8	159	89	04:10:00
13	159	97	05:51:50
17	159	107	04:03:09
11	159	108	04:46:11
10	159	121	04:59:55
20	159	143	01:17:21
3	159	155	03:39:52
4	159	157	03:38:44
12	159	165	04:42:23
1	159	174	04:44:07
5	159	175	03:39:59
9	159	177	04:31:12
7	159	185	05:30:55
14	159	204	05:36:07
21	159	219	03:21:14
4	158	9	03:38:44
8	158	17	04:10:00
18	158	23	04:36:21
2	158	39	05:24:15
7	158	39	05:30:55
6	158	49	04:16:30
1	158	65	04:44:07
9	158	86	04:31:12
10	158	92	04:59:55
3	158	96	03:39:48
16	158	96	06:33:57
19	158	116	04:51:38
11	158	121	04:46:11
12	158	143	04:42:23
13	158	155	05:51:44
15	158	157	05:09:03
20	158	159	01:17:09
5	158	167	03:39:23
14	158	196	05:36:07
21	158	204	03:21:14
17	158	214	04:03:09
2	157	9	05:24:15
7	157	12	05:30:55
4	157	21	03:38:44
1	157	39	04:44:07
3	157	62	03:39:48
15	157	73	05:09:03
19	157	74	04:51:38
9	157	76	04:31:12
14	157	77	05:36:07
20	157	84	01:16:57
12	157	92	04:42:23
16	157	93	06:33:57
10	157	105	04:59:55
11	157	109	04:46:11
18	157	121	04:36:21
17	157	122	04:03:09
21	157	132	03:22:31
8	157	155	04:10:00
6	157	172	04:16:30
5	157	205	03:37:35
13	157	218	05:51:44
6	156	22	04:16:30
15	156	22	05:09:03
17	156	24	04:03:09
7	156	32	05:30:55
1	156	33	04:44:07
3	156	36	03:39:35
8	156	53	04:10:00
9	156	57	04:31:12
16	156	57	06:33:57
21	156	74	03:22:20
13	156	77	05:51:44
11	156	101	04:46:11
18	156	101	04:36:21
12	156	109	04:42:23
4	156	117	03:38:44
19	156	188	04:51:38
14	156	194	05:36:07
2	156	203	05:24:15
10	156	214	04:59:55
20	156	214	01:16:54
5	156	218	03:37:35
4	155	15	03:38:44
6	155	21	04:16:30
17	155	23	04:03:09
14	155	32	05:36:07
