NAT	NOM	PRENOM	NAISSANCE	DOSSARD	EQUIPE
COL	ACEVEDO CALLE	Janier Alexis	1985	92	GARMIN-SHARP
SUI	ALBASINI	Michael	1980	182	ORICA GREENEDGE
JPN	ARASHIRO	Yukiya	1984	152	TEAM EUROPCAR
COL	ATAPUMA	John Darwin	1988	142	BMC RACING TEAM
DEN	BAK	Lars	1980	132	LOTTO-BELISOL
BEL	BAKELANTS	Jan	1986	72	OMEGA PHARMA-QUICK STEP
FRA	BARDET	Romain	1990	82	AG2R LA MONDIALE
CZE	BARTA	Jan	1984	202	TEAM NETAPP-ENDURA
NZL	BAUER	Jack	1985	93	GARMIN-SHARP
ITA	BENNATI	Daniele	1980	32	TINKOFF-SAXO
FRA	BIDEAU	Jean-Marc	1984	212	BRETAGNE-SECHE ENVIRONNEMENT
POL	BODNAR	Maciej	1985	52	CANNONDALE
FRA	BONNET	William	1982	122	FDJ.FR
NED	BOOM	Lars	1985	62	BELKIN PRO CYCLING
GER	BURGHARDT	Marcus	1983	143	BMC RACING TEAM
USA	BUSCHE	Matthew	1985	162	TREK FACTORY RACING
SUI	CANCELLARA	Fabian	1981	163	TREK FACTORY RACING
GBR	CAVENDISH	Mark	1985	71	OMEGA PHARMA-QUICK STEP
FRA	CHAVANEL	Sylvain	1979	192	IAM CYCLING
FRA	CHEREL	Mikael	1986	83	AG2R LA MONDIALE
ITA	CIMOLAI	Davide	1989	112	LAMPRE-MERIDA
AUS	CLARKE	Simon	1986	183	ORICA GREENEDGE
NED	CLEMENT	Stef	1982	63	BELKIN PRO CYCLING
ESP	CONTADOR	Alberto	1982	31	TINKOFF-SAXO
FRA	COQUARD	Bryan	1992	153	TEAM EUROPCAR
POR	COSTA	Rui Alberto	1986	111	LAMPRE-MERIDA
NED	CURVERS	Roy	1979	102	TEAM GIANT-SHIMANO
BEL	DE CLERCQ	Bart	1986	133	LOTTO-BELISOL
NED	DE KORT	Koen	1982	103	TEAM GIANT-SHIMANO
ESP	DE LA CRUZ MELGAREJO	David	1989	203	TEAM NETAPP-ENDURA
ITA	DE MARCHI	Alessandro	1986	53	CANNONDALE
GER	DEGENKOLB	John	1989	104	TEAM GIANT-SHIMANO
FRA	DELAGE	Mickaël	1985	123	FDJ.FR
FRA	DELAPLACE	Anthony	1989	213	BRETAGNE-SECHE ENVIRONNEMENT
FRA	DEMARE	Arnaud	1991	121	FDJ.FR
AUS	DEMPSTER	Zakkari	1987	204	TEAM NETAPP-ENDURA
BEL	DEVENYNS	Dries	1983	105	TEAM GIANT-SHIMANO
FRA	DUMOULIN	Samuel	1980	84	AG2R LA MONDIALE
NED	DUMOULIN	Tom	1990	106	TEAM GIANT-SHIMANO
CRO	DURASEK	Kristijan	1987	113	LAMPRE-MERIDA
AUS	DURBRIDGE	Luke	1991	184	ORICA GREENEDGE
FRA	EDET	Nicolas	1987	172	COFIDIS SOLUTIONS CREDITS
AUT	EISEL	Bernhard	1981	2	TEAM SKY
SUI	ELMIGER	Martin	1978	193	IAM CYCLING
ESP	ERVITI OLLO	Imanol	1983	12	MOVISTAR TEAM
FRA	FEILLU	Brice	1985	211	BRETAGNE-SECHE ENVIRONNEMENT
FRA	FEILLU	Romain	1984	214	BRETAGNE-SECHE ENVIRONNEMENT
FRA	FONSECA	Armindo	1989	215	BRETAGNE-SECHE ENVIRONNEMENT
SUI	FRANK	Mathias	1986	191	IAM CYCLING
GBR	FROOME	Christopher	1985	1	TEAM SKY
DEN	FUGLSANG	Jakob	1985	42	ASTANA PRO TEAM
FRA	GADRET	John	1979	13	MOVISTAR TEAM
FRA	GALLOPIN	Tony	1988	134	LOTTO-BELISOL
ESP	GARCIA ECHEGUIBEL	Egoitz	1986	173	COFIDIS SOLUTIONS CREDITS
LUX	GASTAUER	Ben	1987	85	AG2R LA MONDIALE
FRA	GAUTIER	Cyril	1987	154	TEAM EUROPCAR
FRA	GENE	Yohann	1981	155	TEAM EUROPCAR
FRA	GERARD	Arnaud	1984	216	BRETAGNE-SECHE ENVIRONNEMENT
AUS	GERRANS	Simon	1980	181	ORICA GREENEDGE
POL	GOLAS	Michal	1984	73	OMEGA PHARMA-QUICK STEP
GER	GREIPEL	André	1982	135	LOTTO-BELISOL
UKR	GRIVKO	Andriy	1983	43	ASTANA PRO TEAM
KAZ	GRUZDEV	Dmitriy	1986	44	ASTANA PRO TEAM
FRA	GUILLOU	Florian	1982	217	BRETAGNE-SECHE ENVIRONNEMENT
AUS	HANSEN	Adam	1981	136	LOTTO-BELISOL
AUS	HAUSSLER	Heinrich	1984	194	IAM CYCLING
AUS	HAYMAN	Mathew	1978	185	ORICA GREENEDGE
NZL	HENDERSON	Gregory	1976	137	LOTTO-BELISOL
ESP	HERNANDEZ BLAZQUEZ	Jesus Alberto	1981	33	TINKOFF-SAXO
ESP	HERRADA LOPEZ	Jesus	1990	14	MOVISTAR TEAM
SUI	HOLLENSTEIN	Reto	1985	195	IAM CYCLING
USA	HORNER	Christopher	1971	114	LAMPRE-MERIDA
USA	HOWES	Alex	1988	94	GARMIN-SHARP
POL	HUZARSKI	Bartosz	1980	205	TEAM NETAPP-ENDURA
KAZ	IGLINSKIY	Maxim	1981	45	ASTANA PRO TEAM
ESP	INTXAUSTI	Benat	1986	15	MOVISTAR TEAM
ESP	IRIZAR ARRANBURU	Markel	1980	164	TREK FACTORY RACING
RUS	ISAICHEV	Vladimir	1986	22	TEAM KATUSHA
ESP	IZAGUIRRE INSAUSTI	Jon	1989	16	MOVISTAR TEAM
FRA	JARRIER	Benoit	1989	218	BRETAGNE-SECHE ENVIRONNEMENT
FRA	JEANNESSON	Arnold	1986	124	FDJ.FR
CHN	JI	Cheng	1987	107	TEAM GIANT-SHIMANO
FRA	KADRI	Blel	1986	86	AG2R LA MONDIALE
EST	KANGERT	Tanel	1987	46	ASTANA PRO TEAM
BEL	KEUKELEIRE	Jens	1988	186	ORICA GREENEDGE
USA	KING	Benjamin	1989	95	GARMIN-SHARP
USA	KING	Edward	1983	54	CANNONDALE
BLR	KIRYIENKA	Vasili	1981	3	TEAM SKY
GER	KITTEL	Marcel	1988	101	TEAM GIANT-SHIMANO
GER	KLUGE	Roger	1986	196	IAM CYCLING
